Scores & Fixtures 2021-2022 Süper Lig,,,,,,
,,,,,,
Wk,Day,Date,Home,Score,Away,Referee
12,Sat,2021-11-06,Antalyaspor,1–0,Altay,Mert Güzenge
12,Sat,2021-11-06,Beşiktaş,1–2,Trabzonspor,Erkan Özdamar
12,Sun,2021-11-07,Göztepe,0–2,Konyaspor,Yasin Kol
12,Sun,2021-11-07,Adana Demirspor,1–0,Hatayspor,Yaşar Kemal Uğurlu
12,Sun,2021-11-07,Fatih Karagümrük,1–1,Galatasaray,Atilla Karaoğlan
12,Sun,2021-11-07,Fenerbahçe,2–2,Kayserispor,Cüneyt Çakιr
,,,,,,
13,Sat,2021-11-20,Hatayspor,3–1,Antalyaspor,Tugay Kaan Numanoğlu
13,Sat,2021-11-20,Giresunspor,1–0,Yeni Mal'spor,Cüneyt Çakιr
13,Sat,2021-11-20,Başakşehir,2–1,Sivasspor,Mete Kalkavan
13,Sat,2021-11-20,Alanyaspor,2–0,Beşiktaş,Alper Ulusoy
13,Sun,2021-11-21,Kasımpaşa,1–3,Fatih Karagümrük,Fırat Aydınus
13,Sun,2021-11-21,Konyaspor,3–0,Rizespor,Atilla Karaoğlan
13,Sun,2021-11-21,Altay,1–3,Adana Demirspor,Hüseyin Göçek
13,Sun,2021-11-21,Galatasaray,1–2,Fenerbahçe,Halil Umut Meler
Wk,Day,Date,Home,Score,Away,Referee
13,Mon,2021-11-22,Kayserispor,1–1,Göztepe,Zorbay Küçük
13,Mon,2021-11-22,Trabzonspor,3–0,Gaziantep FK,Suat Arslanboga
,,,,,,
14,Fri,2021-11-26,Başakşehir,0–0,Altay,Umit Öztürk
14,Fri,2021-11-26,Adana Demirspor,0–0,Kasımpaşa,Erkan Özdamar
14,Sat,2021-11-27,Antalyaspor,3–0,Alanyaspor,Ali Şansalan
14,Sat,2021-11-27,Rizespor,1–0,Kayserispor,Yaşar Kemal Uğurlu
14,Sat,2021-11-27,Beşiktaş,0–4,Giresunspor,Hüseyin Göçek
14,Sun,2021-11-28,Gaziantep FK,3–2,Konyaspor,Fırat Aydınus
14,Sun,2021-11-28,Sivasspor,4–0,Hatayspor,Arda Kardeşler
14,Sun,2021-11-28,Fatih Karagümrük,0–2,Trabzonspor,Cüneyt Çakιr
14,Sun,2021-11-28,Yeni Mal'spor,0–0,Galatasaray,Atilla Karaoğlan
14,Mon,2021-11-29,Göztepe,1–1,Fenerbahçe,Mete Kalkavan
,,,,,,
15,Fri,2021-12-03,Kasımpaşa,1–1,Beşiktaş,Mete Kalkavan
15,Sat,2021-12-04,Alanyaspor,0–1,Sivasspor,Yaşar Kemal Uğurlu
15,Sat,2021-12-04,Trabzonspor,2–0,Adana Demirspor,Fırat Aydınus
15,Sat,2021-12-04,Galatasaray,2–2,Altay,Cüneyt Çakιr
15,Sun,2021-12-05,Kayserispor,2–0,Antalyaspor,Halil Umut Meler
15,Sun,2021-12-05,Giresunspor,3–1,Fatih Karagümrük,Arda Kardeşler
15,Sun,2021-12-05,Hatayspor,0–3,Başakşehir,Erkan Özdamar
15,Sun,2021-12-05,Fenerbahçe,4–0,Rizespor,Zorbay Küçük
15,Mon,2021-12-06,Göztepe,2–1,Gaziantep FK,Umit Öztürk
15,Mon,2021-12-06,Konyaspor,0–0,Yeni Mal'spor,Alper Ulusoy
,,,,,,
16,Fri,2021-12-10,Altay,1–2,Hatayspor,Mete Kalkavan
16,Sat,2021-12-11,Fatih Karagümrük,1–4,Konyaspor,Yaşar Kemal Uğurlu
16,Sat,2021-12-11,Rizespor,3–1,Göztepe,Erkan Özdamar
16,Sat,2021-12-11,Başakşehir,2–1,Kasımpaşa,Fırat Aydınus
16,Sat,2021-12-11,Antalyaspor,2–1,Trabzonspor,Zorbay Küçük
16,Sun,2021-12-12,Adana Demirspor,1–0,Giresunspor,Alper Ulusoy
16,Sun,2021-12-12,Yeni Mal'spor,2–6,Alanyaspor,Yasin Kol
16,Sun,2021-12-12,Beşiktaş,4–2,Kayserispor,Ali Şansalan
16,Mon,2021-12-13,Sivasspor,1–0,Galatasaray,Umit Öztürk
16,Mon,2021-12-13,Gaziantep FK,3–2,Fenerbahçe,Atilla Karaoğlan
Wk,Day,Date,Home,Score,Away,Referee
,,,,,,
17,Fri,2021-12-17,Giresunspor,3–1,Altay,Tugay Kaan Numanoğlu
17,Sat,2021-12-18,Kasımpaşa,1–3,Sivasspor,Ali Şansalan
17,Sat,2021-12-18,Trabzonspor,2–0,Hatayspor,Yaşar Kemal Uğurlu
17,Sat,2021-12-18,Konyaspor,1–0,Antalyaspor,Arda Kardeşler
17,Sat,2021-12-18,Alanyaspor,1–3,Adana Demirspor,Hüseyin Göçek
17,Sat,2021-12-18,Galatasaray,1–1,Başakşehir,Zorbay Küçük
17,Sun,2021-12-19,Rizespor,1–0,Yeni Mal'spor,Halil Umut Meler
17,Sun,2021-12-19,Göztepe,0–1,Fatih Karagümrük,Volkan Bayarslan
17,Sun,2021-12-19,Kayserispor,0–0,Gaziantep FK,Erkan Özdamar
17,Sun,2021-12-19,Fenerbahçe,2–2,Beşiktaş,Fırat Aydınus
,,,,,,
18,Tue,2021-12-21,Başakşehir,3–1,Giresunspor,Alper Ulusoy
18,Tue,2021-12-21,Antalyaspor,1–1,Kasımpaşa,Yaşar Kemal Uğurlu
