Wk,Date,Time,Home,Score,Away,Referee
12,2023-11-12,16:00,Rizespor,1–0,İstanbulspor,Sarper Barış Saka
12,2023-11-12,19:00,Adana Demirspor,0–0,Fenerbahçe,Halil Umut Meler
,,,,,,
13,2023-11-25,13:30,İstanbulspor,2–1,Hatayspor,Tugay Kaan Numanoğlu
13,2023-11-25,16:00,Konyaspor,2–0,Kasımpaşa,Direnç Tonusluoğlu
13,2023-11-25,16:00,Gaziantep FK,0–1,Ankaragücü,Umit Öztürk
13,2023-11-25,19:00,Galatasaray,4–0,Alanyaspor,Ali Şansalan
13,2023-11-26,13:30,Kayserispor,1–1,Adana Demirspor,Kadir Sağlam
13,2023-11-26,16:00,Samsunspor,1–2,Beşiktaş,Abdulkadir Bitigen
Wk,Date,Time,Home,Score,Away,Referee
13,2023-11-26,16:00,Antalyaspor,0–0,Rizespor,Turgut Doman
13,2023-11-26,19:00,Fenerbahçe,2–1,Fatih Karagümrük,Arda Kardeşler
13,2023-11-27,20:00,Sivasspor,3–3,Trabzonspor,Volkan Bayarslan
13,2023-11-27,20:00,Başakşehir,4–1,Pendikspor,Cihan Aydın
,,,,,,
14,2023-12-01,20:00,Fatih Karagümrük,3–0,İstanbulspor,Kadir Sağlam
14,2023-12-01,20:00,Hatayspor,3–3,Antalyaspor,Yiğit Arslan
14,2023-12-02,13:30,Alanyaspor,2–2,Konyaspor,Burak Pakkan
14,2023-12-02,16:00,Rizespor,3–2,Başakşehir,Mert Güzenge
14,2023-12-02,19:00,Pendikspor,0–2,Galatasaray,Volkan Bayarslan
14,2023-12-02,19:00,Adana Demirspor,2–3,Samsunspor,Sarper Barış Saka
14,2023-12-03,13:30,Kasımpaşa,4–2,Gaziantep FK,Burak Şeker
14,2023-12-03,16:00,Trabzonspor,0–1,Kayserispor,Umit Öztürk
14,2023-12-03,19:00,Ankaragücü,1–1,Beşiktaş,Zorbay Küçük
14,2023-12-04,20:00,Fenerbahçe,4–1,Sivasspor,Bahattin Şimşek
,,,,,,
15,2023-12-08,20:00,Galatasaray,3–1,Adana Demirspor,Abdulkadir Bitigen
15,2023-12-09,13:30,Antalyaspor,2–1,Fatih Karagümrük,Çağdaş Altay
15,2023-12-09,16:00,Samsunspor,4–2,Kasımpaşa,Zorbay Küçük
15,2023-12-09,19:00,Beşiktaş,1–3,Fenerbahçe,Atilla Karaoğlan
15,2023-12-10,13:30,İstanbulspor,0–1,Alanyaspor,Cihan Aydın
15,2023-12-10,16:00,Başakşehir,1–0,Hatayspor,Burak Şeker
15,2023-12-10,16:00,Kayserispor,2–0,Pendikspor,Turgut Doman
15,2023-12-10,19:00,Gaziantep FK,1–3,Trabzonspor,Arda Kardeşler
15,2023-12-11,20:00,Ankaragücü,1–1,Rizespor,Halil Umut Meler
15,2023-12-11,20:00,Konyaspor,0–1,Sivasspor,Tugay Kaan Numanoğlu
,,,,,,
17,2023-12-19,17:00,Başakşehir,3–1,Sivasspor,Mete Kalkavan
17,2023-12-19,20:00,Gaziantep FK,2–2,Adana Demirspor,Bahattin Şimşek
17,2023-12-19,20:00,İstanbulspor,0–3,Trabzonspor,Ali Şansalan
17,2023-12-20,17:00,Kayserispor,3–4,Fenerbahçe,Zorbay Küçük
17,2023-12-20,20:00,Galatasaray,1–0,Fatih Karagümrük,Tugay Kaan Numanoğlu
17,2023-12-20,20:00,Antalyaspor,0–0,Kasımpaşa,Kadir Sağlam
17,2023-12-21,17:00,Samsunspor,1–1,Konyaspor,Murat Erdoğan
17,2023-12-21,17:00,Rizespor,5–1,Pendikspor,Direnç Tonusluoğlu
Wk,Date,Time,Home,Score,Away,Referee
